state,donations,population,donations_per_1000
Johor,43706.0,4107200.0,10.641312816517335
Kedah,21564.0,2189300.0,9.849723655963095
Kelantan,16716.0,1859800.0,8.988063232605656
Melaka,28445.0,1028300.0,27.662160848001555
Negeri Sembilan,16417.0,1224900.0,13.402726753204343
Pahang,22803.0,1643200.0,13.877190847127556
Perak,46920.0,2541200.0,18.4637179285377
Pulau Pinang,41633.0,1772600.0,23.486968295159652
Sabah,39826.0,3596700.0,11.072927961742709
Sarawak,41593.0,2502300.0,16.6219078447828
Selangor,30132.0,7209700.0,4.179369460587819
Terengganu,19360.0,1210000.0,16.0
Kuala Lumpur,206288.0,2005700.0,102.85087500623223
Perlis,,293100.0,
Labuan,,99000.0,
Putrajaya,,118800.0,
